# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = model_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.R
# init = 2 (Default)
# random
#   seed = 4087703769
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1.1,theta1.2,theta1.3,theta1.4,lambda.1,lambda.2,sigma,V0.1,V0.2,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6
# Adaptation terminated
# Step size = 0.0148212
# Diagonal elements of inverse mass matrix:
# 0.0218095, 0.718346, 0.0215487, 0.0739149, 0.0149962, 0.31435, 0.0221287, 0.028735, 0.0363412
113.78,0.886377,0.0148212,7,255,0,-106.226,0.262576,0.77558,0.3741,0.909013,0.58999,0.67348,0.00765377,0.0245666,0.0173037,0.262576,0.77558,0.58999,0.3741,0.909013,0.67348
116.487,0.909411,0.0148212,6,127,0,-110.419,0.253608,1.59637,0.386772,0.773745,0.664157,0.590331,0.00780823,0.0243768,0.0153508,0.253608,1.59637,0.664157,0.386772,0.773745,0.590331
112.261,0.497038,0.0148212,7,255,0,-106.563,0.266974,1.86726,0.389027,0.742564,0.724167,0.52553,0.0085192,0.0224602,0.0151116,0.266974,1.86726,0.724167,0.389027,0.742564,0.52553
110.734,0.996022,0.0148212,8,255,0,-106.106,0.22348,1.67032,0.303801,0.529456,0.572669,-0.314635,0.00751625,0.0289186,0.019155,0.22348,1.67032,0.572669,0.303801,0.529456,-0.314635
115.082,0.969442,0.0148212,8,255,0,-108.346,0.244688,2.59645,0.341271,0.599197,0.656996,0.0749792,0.00892801,0.0259184,0.0184326,0.244688,2.59645,0.656996,0.341271,0.599197,0.0749792
112.008,0.986255,0.0148212,9,511,0,-108.435,0.359586,0.173418,0.418143,0.842956,0.206834,0.873276,0.00769413,0.0215826,0.0142989,0.359586,0.173418,0.206834,0.418143,0.842956,0.873276
111.004,0.979207,0.0148212,8,259,1,-106.768,0.340603,0.343441,0.304199,0.51774,0.632551,-0.257578,0.0099078,0.0203116,0.020737,0.340603,0.343441,0.632551,0.304199,0.51774,-0.257578
109.561,0.860737,0.0148212,8,511,0,-103.779,0.3921,0.21832,0.369128,0.672213,0.504462,0.291652,0.0102132,0.0186931,0.0153481,0.3921,0.21832,0.504462,0.369128,0.672213,0.291652
112.053,0.831299,0.0148212,8,255,0,-107.442,0.270914,0.40005,0.475569,0.989114,0.538879,1.34037,0.00767242,0.0272505,0.011667,0.270914,0.40005,0.538879,0.475569,0.989114,1.34037
111.01,0.849496,0.0148212,8,255,0,-106.524,0.312321,0.471379,0.482667,0.930621,0.669844,1.25211,0.00935028,0.0198051,0.0096795,0.312321,0.471379,0.669844,0.482667,0.930621,1.25211
109.995,0.978514,0.0148212,8,255,0,-107.43,0.304785,0.806657,0.435866,0.968576,0.722439,1.11805,0.0117182,0.0193373,0.013645,0.304785,0.806657,0.722439,0.435866,0.968576,1.11805
114.032,0.966804,0.0148212,7,255,0,-106.027,0.272421,0.87206,0.459477,0.900617,0.673943,1.08602,0.00763221,0.0228115,0.0108641,0.272421,0.87206,0.673943,0.459477,0.900617,1.08602
113.03,0.801952,0.0148212,5,41,1,-106.692,0.2608,0.952146,0.461703,0.833225,0.619024,1.01435,0.00834905,0.0226977,0.0105295,0.2608,0.952146,0.619024,0.461703,0.833225,1.01435
109.803,0.730335,0.0148212,8,255,0,-103.941,0.197388,0.823192,0.47631,1.72025,0.419077,1.9023,0.0101019,0.0331806,0.0138817,0.197388,0.823192,0.419077,0.47631,1.72025,1.9023
111.188,0.155062,0.0148212,6,63,0,-108.548,0.19907,0.876792,0.479898,1.75684,0.416947,1.91705,0.0100814,0.0329007,0.0139415,0.19907,0.876792,0.416947,0.479898,1.75684,1.91705
109.389,0.0149575,0.0148212,7,127,0,-105.506,0.197058,0.820936,0.471091,1.75196,0.426796,1.91851,0.0100657,0.0329664,0.0146079,0.197058,0.820936,0.426796,0.471091,1.75196,1.91851
108.003,0.794013,0.0148212,6,127,0,-103.733,0.199153,4.62505,0.45823,1.74145,0.499031,1.6091,0.0105945,0.0327672,0.0137945,0.199153,4.62505,0.499031,0.45823,1.74145,1.6091
110.482,0.169623,0.0148212,6,95,0,-102.36,0.197163,2.80184,0.485332,1.34582,0.493354,1.76781,0.0110142,0.0332153,0.0136669,0.197163,2.80184,0.493354,0.485332,1.34582,1.76781
114.332,0.978355,0.0148212,7,191,0,-105.527,0.226663,1.2081,0.473805,1.13312,0.537739,1.50046,0.00808144,0.0279148,0.012241,0.226663,1.2081,0.537739,0.473805,1.13312,1.50046
113.392,0.0302481,0.0148212,7,127,0,-108.414,0.22754,1.27172,0.480049,1.12968,0.555139,1.54132,0.00824522,0.0282584,0.0120871,0.22754,1.27172,0.555139,0.480049,1.12968,1.54132
115.144,0.0196945,0.0148212,8,255,0,-109.07,0.229036,1.42925,0.466166,1.09962,0.555084,1.35797,0.00809855,0.0279267,0.0120951,0.229036,1.42925,0.555084,0.466166,1.09962,1.35797
115.274,0.87391,0.0148212,7,159,0,-109.489,0.2304,2.9604,0.446506,1.12765,0.606933,1.31238,0.00889869,0.0276876,0.0139772,0.2304,2.9604,0.606933,0.446506,1.12765,1.31238
109.732,0.123181,0.0148212,8,255,0,-102.966,0.287781,1.61213,0.372458,0.861875,0.771853,0.649379,0.0120429,0.0194559,0.0164247,0.287781,1.61213,0.771853,0.372458,0.861875,0.649379
110.868,0.995596,0.0148212,7,127,0,-108.465,0.296364,2.32598,0.387744,0.888439,0.842912,0.734039,0.0107331,0.0212653,0.0169497,0.296364,2.32598,0.842912,0.387744,0.888439,0.734039
110.975,0.999945,0.0148212,7,127,0,-108.026,0.277172,5.73837,0.3673,0.870192,0.801251,0.603007,0.0105504,0.0218956,0.0176497,0.277172,5.73837,0.801251,0.3673,0.870192,0.603007
106.979,0.710967,0.0148212,8,255,0,-102.727,0.241336,0.421315,0.439236,1.27834,0.399866,1.45006,0.00831866,0.0268632,0.0144574,0.241336,0.421315,0.399866,0.439236,1.27834,1.45006
110.999,0.90787,0.0148212,8,319,0,-103.678,0.277933,1.53671,0.395602,0.687369,0.78745,0.400457,0.0102069,0.022924,0.0133064,0.277933,1.53671,0.78745,0.395602,0.687369,0.400457
111.148,0.979756,0.0148212,7,255,0,-108.938,0.258065,1.81752,0.381601,0.667559,0.640733,0.301031,0.0100764,0.0222733,0.0135796,0.258065,1.81752,0.640733,0.381601,0.667559,0.301031
111.619,0.864379,0.0148212,6,126,1,-107.548,0.250535,2.03121,0.421901,0.851011,0.733829,0.846413,0.0100416,0.0265161,0.0131417,0.250535,2.03121,0.733829,0.421901,0.851011,0.846413
112.309,0.999846,0.0148212,8,255,0,-105.018,0.229472,0.765236,0.342032,0.623398,0.472733,0.0830088,0.00786079,0.0276078,0.017384,0.229472,0.765236,0.472733,0.342032,0.623398,0.0830088
113.535,0.921011,0.0148212,7,191,0,-110.574,0.247901,0.814983,0.360003,0.690784,0.628919,0.309318,0.00845764,0.028252,0.0168803,0.247901,0.814983,0.628919,0.360003,0.690784,0.309318
111.192,0.763932,0.0148212,8,255,0,-106.351,0.279653,1.25993,0.51559,1.06525,0.762498,1.57856,0.0104826,0.0223726,0.00917013,0.279653,1.25993,0.762498,0.51559,1.06525,1.57856
110.605,0.547201,0.0148212,7,143,0,-106.168,0.255486,2.62977,0.475443,0.801829,0.706303,1.06443,0.0113018,0.0234358,0.0100622,0.255486,2.62977,0.706303,0.475443,0.801829,1.06443
112.204,0.904275,0.0148212,7,152,1,-107.015,0.239638,1.86572,0.516636,1.03957,0.633323,1.64092,0.010602,0.02585,0.00963637,0.239638,1.86572,0.633323,0.516636,1.03957,1.64092
112.421,0.776178,0.0148212,6,99,1,-109.225,0.23639,1.64072,0.51321,1.07169,0.616758,1.59656,0.0109859,0.0271908,0.009736,0.23639,1.64072,0.616758,0.51321,1.07169,1.59656
110.304,0.479793,0.0148212,8,255,0,-105.916,0.202903,1.43156,0.354779,0.857949,0.470984,0.54011,0.00797355,0.0326262,0.0188346,0.202903,1.43156,0.470984,0.354779,0.857949,0.54011
110.385,0.901343,0.0148212,8,255,0,-106.359,0.185191,1.75003,0.364501,0.74669,0.461137,0.432804,0.00837109,0.0363181,0.0176838,0.185191,1.75003,0.461137,0.364501,0.74669,0.432804
110.824,0.968862,0.0148212,7,255,0,-104.09,0.215013,1.05901,0.366761,0.777549,0.514231,0.502688,0.0112626,0.0308627,0.0177601,0.215013,1.05901,0.514231,0.366761,0.777549,0.502688
111.745,0.978263,0.0148212,8,255,0,-106.396,0.278668,1.35972,0.29521,0.521421,0.729208,-0.284633,0.00768707,0.0219719,0.0223356,0.278668,1.35972,0.729208,0.29521,0.521421,-0.284633
111.367,0.97345,0.0148212,8,255,0,-105.244,0.312232,1.27162,0.341653,0.594438,0.842697,0.0740293,0.00932653,0.0187051,0.0176265,0.312232,1.27162,0.842697,0.341653,0.594438,0.0740293
113.502,0.971804,0.0148212,7,255,0,-108.535,0.272767,3.07961,0.345263,0.773485,0.750592,0.416682,0.00923327,0.022004,0.0198588,0.272767,3.07961,0.750592,0.345263,0.773485,0.416682
114.616,0.961021,0.0148212,7,127,0,-111.503,0.265097,2.6231,0.381554,0.67794,0.735738,0.421316,0.00929174,0.0229629,0.0156997,0.265097,2.6231,0.735738,0.381554,0.67794,0.421316
114.927,0.962773,0.0148212,8,255,0,-112.597,0.212288,2.29649,0.408058,0.933067,0.555036,0.905918,0.00800977,0.0304119,0.0149636,0.212288,2.29649,0.555036,0.408058,0.933067,0.905918
114.176,0.890082,0.0148212,8,255,0,-112.823,0.218269,1.24904,0.443974,0.969151,0.540159,1.10055,0.00833796,0.0303818,0.0128647,0.218269,1.24904,0.540159,0.443974,0.969151,1.10055
113.813,0.979818,0.0148212,6,127,0,-112.128,0.229327,1.17744,0.435814,0.955518,0.522582,1.05843,0.00833691,0.0269198,0.0132252,0.229327,1.17744,0.522582,0.435814,0.955518,1.05843
113.03,0.998418,0.0148212,8,255,0,-108.268,0.269776,4.50026,0.38922,0.902133,0.765868,0.797519,0.00988439,0.0228347,0.0167886,0.269776,4.50026,0.765868,0.38922,0.902133,0.797519
111.777,0.505728,0.0148212,8,255,0,-107.724,0.251381,0.721761,0.340884,0.525478,0.561311,-0.174962,0.00910094,0.0267371,0.0164365,0.251381,0.721761,0.561311,0.340884,0.525478,-0.174962
111.87,0.953567,0.0148212,9,511,0,-108.509,0.350849,0.311321,0.331601,0.523611,0.560781,-0.187073,0.0077502,0.0183539,0.0172418,0.350849,0.311321,0.560781,0.331601,0.523611,-0.187073
113.437,0.993325,0.0148212,8,511,0,-106.962,0.217356,6.50428,0.412794,0.907834,0.597084,0.893915,0.00782985,0.0289534,0.014386,0.217356,6.50428,0.597084,0.412794,0.907834,0.893915
110.206,0.20608,0.0148212,8,255,0,-105.209,0.212439,1.66807,0.431944,0.765454,0.526808,0.79138,0.0101734,0.0308031,0.012548,0.212439,1.66807,0.526808,0.431944,0.765454,0.79138
