# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = real_model_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = real_data.R
# init = 2 (Default)
# random
#   seed = 4166733226
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1.1,theta1.2,theta1.3,theta1.4,lambda.1,lambda.2,sigma,V0,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6
# Adaptation terminated
# Step size = 0.0909249
# Diagonal elements of inverse mass matrix:
# 1.10562, 0.900138, 0.453338, 0.249102, 0.453292, 0.498811, 0.00542469, 2.92607
79.2416,0.961103,0.0909249,5,31,0,-75.76,0.0911075,0.975804,0.162343,1.31115,1.80067,1.22977,0.860946,0.0948082,0.0911075,0.975804,1.80067,0.162343,1.31115,1.22977
74.2153,0.963982,0.0909249,5,31,0,-72.3891,0.244781,1.57813,0.444981,0.49921,0.490876,-0.163711,0.957014,0.0195579,0.244781,1.57813,0.490876,0.444981,0.49921,-0.163711
78.4358,0.896936,0.0909249,5,31,0,-72.247,0.214375,0.888546,0.317061,0.657465,0.972901,0.505731,0.95697,0.0254003,0.214375,0.888546,0.972901,0.317061,0.657465,0.505731
80.0967,0.996815,0.0909249,5,63,0,-77.1462,0.285494,0.393752,0.234145,1.51016,1.78383,0.777494,0.836387,0.0334984,0.285494,0.393752,1.78383,0.234145,1.51016,0.777494
79.8319,0.995674,0.0909249,4,31,0,-78.1645,0.183294,0.561066,0.228175,1.19194,1.28243,1.09003,0.809517,0.0591272,0.183294,0.561066,1.28243,0.228175,1.19194,1.09003
79.5285,0.891422,0.0909249,4,31,0,-76.8181,0.4124,0.374268,0.240059,0.66853,1.53651,0.0778202,0.865244,0.03953,0.4124,0.374268,1.53651,0.240059,0.66853,0.0778202
78.7063,0.745984,0.0909249,4,31,0,-76.336,0.652404,0.224044,0.179263,0.838599,1.53876,0.0196897,0.805835,0.049942,0.652404,0.224044,1.53876,0.179263,0.838599,0.0196897
75.9707,0.937284,0.0909249,5,31,0,-73.4154,0.191345,0.612663,0.295461,1.20476,1.71579,0.355041,0.903992,0.0102686,0.191345,0.612663,1.71579,0.295461,1.20476,0.355041
74.3246,0.816086,0.0909249,5,31,0,-72.7463,0.18211,0.182649,0.0973707,1.44882,2.10712,0.783247,0.869743,0.124582,0.18211,0.182649,2.10712,0.0973707,1.44882,0.783247
73.5684,0.942746,0.0909249,4,31,0,-67.4956,2.97532,0.077628,0.439825,0.485262,1.89855,1.0481,0.885432,0.0323954,2.97532,0.077628,1.89855,0.439825,0.485262,1.0481
74.9206,0.978124,0.0909249,5,31,0,-71.4038,0.269067,0.452726,0.40351,0.715094,2.43048,1.20529,0.871436,0.00512694,0.269067,0.452726,2.43048,0.40351,0.715094,1.20529
73.3259,0.565608,0.0909249,5,31,0,-69.0885,0.225019,0.435912,0.427381,0.830166,2.34208,1.3536,0.848218,0.00456868,0.225019,0.435912,2.34208,0.427381,0.830166,1.3536
73.1061,0.286783,0.0909249,5,31,0,-69.5163,0.266768,0.328432,0.412856,0.890383,2.3181,1.49432,0.840365,0.0032962,0.266768,0.328432,2.3181,0.412856,0.890383,1.49432
72.7405,0.84045,0.0909249,5,31,0,-67.2096,0.0754107,0.853199,0.151153,0.844953,1.51357,0.578791,0.946398,0.05098,0.0754107,0.853199,1.51357,0.151153,0.844953,0.578791
75.6928,0.965715,0.0909249,4,31,0,-68.3581,0.142366,2.22593,0.274474,0.574364,1.75985,1.59215,0.897788,0.0307074,0.142366,2.22593,1.75985,0.274474,0.574364,1.59215
71.8236,0.886431,0.0909249,5,47,0,-68.6256,0.0752395,0.603189,2.29709,0.353823,2.20715,1.38237,0.850643,0.302058,0.0752395,0.603189,2.20715,2.29709,0.353823,1.38237
70.5418,0.952922,0.0909249,3,15,0,-67.7817,0.0837991,0.599445,1.75186,0.254213,1.87258,0.925127,0.867312,0.0625686,0.0837991,0.599445,1.87258,1.75186,0.254213,0.925127
68.7382,0.997838,0.0909249,5,31,0,-66.2257,0.0143633,1.97577,0.833951,0.314258,2.69966,0.804909,0.951283,0.0660609,0.0143633,1.97577,2.69966,0.833951,0.314258,0.804909
69.3439,0.975233,0.0909249,5,63,0,-61.2955,0.1018,0.831288,0.436547,0.439072,3.37623,1.44236,1.00563,0.0278942,0.1018,0.831288,3.37623,0.436547,0.439072,1.44236
71.5835,0.98293,0.0909249,5,31,0,-62.2209,0.0250062,2.02685,0.232701,1.57329,2.28207,2.46234,0.954817,0.0315933,0.0250062,2.02685,2.28207,0.232701,1.57329,2.46234
75.3454,0.947701,0.0909249,5,31,0,-67.9098,0.0154868,1.30836,0.207414,0.70135,2.07985,1.93158,0.834671,0.151073,0.0154868,1.30836,2.07985,0.207414,0.70135,1.93158
79.4639,0.965276,0.0909249,5,63,0,-73.4014,0.163223,1.6317,0.232624,0.885826,1.24613,0.49201,0.942121,0.0423554,0.163223,1.6317,1.24613,0.232624,0.885826,0.49201
80.2883,0.896768,0.0909249,5,31,0,-77.3287,0.182063,0.843016,0.205534,1.27105,1.27766,0.645341,0.84185,0.0369625,0.182063,0.843016,1.27766,0.205534,1.27105,0.645341
79.3886,0.685474,0.0909249,5,31,0,-78.5848,0.182094,1.72878,0.272435,1.6067,1.22085,1.04726,0.817452,0.0280753,0.182094,1.72878,1.22085,0.272435,1.6067,1.04726
78.6273,0.394206,0.0909249,4,31,0,-74.3809,0.122707,1.83213,0.229636,1.21407,1.75547,0.960173,0.831928,0.0289382,0.122707,1.83213,1.75547,0.229636,1.21407,0.960173
79.6645,0.972794,0.0909249,4,31,0,-75.5501,0.147766,1.3819,0.181154,1.11561,2.20201,0.775876,0.799315,0.0551138,0.147766,1.3819,2.20201,0.181154,1.11561,0.775876
80.3933,0.995727,0.0909249,5,31,0,-77.2973,0.347646,0.4792,0.288121,0.654769,1.39164,0.335635,0.821322,0.0233331,0.347646,0.4792,1.39164,0.288121,0.654769,0.335635
80.4082,0.969215,0.0909249,5,63,0,-79.3129,0.616192,0.254293,0.325625,0.717993,1.27362,0.370621,0.849277,0.0169708,0.616192,0.254293,1.27362,0.325625,0.717993,0.370621
77.5777,0.813996,0.0909249,5,31,0,-76.1518,0.936835,0.132218,0.284879,1.06082,1.9326,0.508887,0.867325,0.0129439,0.936835,0.132218,1.9326,0.284879,1.06082,0.508887
78.6704,0.994057,0.0909249,5,31,0,-75.418,1.50722,0.174119,0.305813,0.886195,2.09102,0.417655,0.924341,0.0171094,1.50722,0.174119,2.09102,0.305813,0.886195,0.417655
77.9417,0.927408,0.0909249,5,31,0,-74.8383,0.445112,0.168986,0.28219,1.14909,0.726485,0.698424,0.872579,0.0319818,0.445112,0.168986,0.726485,0.28219,1.14909,0.698424
76.5165,0.292102,0.0909249,5,63,0,-71.6111,1.80563,0.254092,0.256043,1.51544,1.37617,-0.000830957,0.859998,0.00731035,1.80563,0.254092,1.37617,0.256043,1.51544,-0.000830957
77.6609,0.939146,0.0909249,5,31,0,-74.6203,0.482802,0.421334,0.499008,0.467403,1.56128,1.32777,0.897748,0.0303161,0.482802,0.421334,1.56128,0.499008,0.467403,1.32777
77.5462,0.73139,0.0909249,5,47,0,-74.261,0.167553,0.430474,0.230486,0.628717,0.95553,0.645825,0.914159,0.0950065,0.167553,0.430474,0.95553,0.230486,0.628717,0.645825
79.1863,0.928461,0.0909249,5,31,0,-75.5303,0.391844,0.654863,0.309032,1.02833,1.31084,-0.116423,0.863898,0.00932189,0.391844,0.654863,1.31084,0.309032,1.02833,-0.116423
77.4073,0.45905,0.0909249,5,31,0,-73.3592,0.314616,0.468217,0.343599,1.29821,1.5563,0.640808,0.888329,0.00552165,0.314616,0.468217,1.5563,0.343599,1.29821,0.640808
78.4967,0.731148,0.0909249,5,63,0,-70.5452,0.650057,0.362466,0.323243,0.596391,2.0395,0.544168,0.920096,0.0360991,0.650057,0.362466,2.0395,0.323243,0.596391,0.544168
74.0125,0.885336,0.0909249,4,27,0,-69.2198,2.02157,0.148638,0.211439,0.451489,2.25898,0.122524,0.939449,0.0946106,2.02157,0.148638,2.25898,0.211439,0.451489,0.122524
72.8091,0.832836,0.0909249,4,31,0,-68.8397,0.786505,0.241497,0.378898,0.326929,2.21484,0.438904,1.0028,0.0962935,0.786505,0.241497,2.21484,0.378898,0.326929,0.438904
70.5043,0.96776,0.0909249,5,63,0,-66.0548,2.05195,0.184633,0.157456,0.805919,-0.202003,0.300833,0.800112,0.0361602,2.05195,0.184633,-0.202003,0.157456,0.805919,0.300833
77.5813,0.982211,0.0909249,4,15,0,-68.8777,1.74922,0.171124,0.233041,0.741328,0.165809,0.267883,0.840009,0.0344929,1.74922,0.171124,0.165809,0.233041,0.741328,0.267883
76.508,0.976733,0.0909249,5,31,0,-75.2052,1.2109,0.147428,0.438521,0.780912,-0.0116242,0.584989,0.811142,0.00305257,1.2109,0.147428,-0.0116242,0.438521,0.780912,0.584989
73.6876,0.856963,0.0909249,5,31,0,-72.0872,2.14857,0.158675,0.405266,0.396152,-0.635402,0.547476,0.839051,0.0183355,2.14857,0.158675,-0.635402,0.405266,0.396152,0.547476
74.1424,0.973969,0.0909249,5,31,0,-70.8298,1.11288,0.111579,0.364029,0.36204,0.474605,-0.0353573,0.88809,0.0500412,1.11288,0.111579,0.474605,0.364029,0.36204,-0.0353573
75.8054,0.959687,0.0909249,5,31,0,-71.7159,2.00964,0.147298,0.429498,0.451037,0.732811,0.282759,0.861674,0.00463829,2.00964,0.147298,0.732811,0.429498,0.451037,0.282759
74.3437,0.962851,0.0909249,5,31,0,-71.837,0.318412,0.649388,0.158158,2.13897,2.92578,-0.117278,0.840042,0.0317407,0.318412,0.649388,2.92578,0.158158,2.13897,-0.117278
77.691,0.681137,0.0909249,5,31,0,-66.8086,2.17413,0.192541,0.283385,1.14564,1.41995,0.534051,0.934155,0.0240017,2.17413,0.192541,1.41995,0.283385,1.14564,0.534051
77.9873,0.906182,0.0909249,5,31,0,-74.419,0.642712,0.217851,0.160545,1.73143,1.95432,0.00380128,0.884134,0.0419273,0.642712,0.217851,1.95432,0.160545,1.73143,0.00380128
76.2209,0.975583,0.0909249,5,63,0,-72.6813,1.43584,0.124478,0.350363,1.11287,0.756756,0.774657,0.73882,0.0135809,1.43584,0.124478,0.756756,0.350363,1.11287,0.774657
77.5371,0.394578,0.0909249,4,15,0,-70.3142,0.687303,0.228577,0.282792,0.585902,1.29555,-0.0241208,0.772502,0.0126133,0.687303,0.228577,1.29555,0.282792,0.585902,-0.0241208
77.8813,0.929983,0.0909249,5,31,0,-74.0332,0.758029,0.379859,0.577976,0.601087,1.62474,0.471836,0.746342,0.00208756,0.758029,0.379859,1.62474,0.577976,0.601087,0.471836
76.9703,0.648087,0.0909249,5,31,0,-73.5323,0.90767,0.221178,0.513629,0.680731,1.4363,0.00303454,0.759813,0.00177958,0.90767,0.221178,1.4363,0.513629,0.680731,0.00303454
72.9276,0.972025,0.0909249,5,31,0,-70.5095,1.93367,0.169774,0.727817,0.528119,1.59998,1.16914,0.711754,0.000537276,1.93367,0.169774,1.59998,0.727817,0.528119,1.16914
74.0997,0.972672,0.0909249,4,15,0,-71.6792,1.59565,0.172757,0.759195,0.505159,1.4983,0.892716,0.72665,0.000745873,1.59565,0.172757,1.4983,0.759195,0.505159,0.892716
72.1084,0.996721,0.0909249,5,31,0,-69.29,0.522747,0.13849,0.140935,0.906824,0.957348,-0.0620188,1.04829,0.0653372,0.522747,0.13849,0.957348,0.140935,0.906824,-0.0620188
74.8985,0.498417,0.0909249,5,63,0,-68.1289,2.25479,0.161283,0.203186,2.48768,0.0290267,0.586186,0.91496,0.0484641,2.25479,0.161283,0.0290267,0.203186,2.48768,0.586186
