# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = real_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = real_data.R
# init = 2 (Default)
# random
#   seed = 4174009954
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1.1,theta1.2,theta1.3,theta1.4,lambda.1,lambda.2,sigma,V0,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,V_hat.1.1,V_hat.2.1,V_hat.3.1,V_hat.4.1,V_hat.5.1,V_hat.6.1,V_hat.1.2,V_hat.2.2,V_hat.3.2,V_hat.4.2,V_hat.5.2,V_hat.6.2,V0s.1,V0s.2,j,i,LL
# Adaptation terminated
# Step size = 0.0560406
# Diagonal elements of inverse mass matrix:
# 0.745958, 0.999055, 0.532509, 0.400807, 0.901723, 0.626497, 0.0095346, 6.28627
67.1795,0.963724,0.0560406,6,63,0,-58.8292,0.630202,0.879331,0.318201,0.941927,3.13917,-0.0193838,0.922316,0.00952775,0.630202,0.879331,3.13917,0.318201,0.941927,-0.0193838,0,0,0,0,0,0,0.0243563,0.0449905,0.0815519,0.186101,0.367442,0.515452,0,0.00952775,6,1,0.950698
63.6083,0.982377,0.0560406,6,63,0,-62.0815,0.0343694,1.1526,0.283948,0.82116,1.12591,0.454228,0.627727,0.0173388,0.0343694,1.1526,1.12591,0.283948,0.82116,0.454228,0,0,0,0,0,0,0.0395202,0.0672606,0.111691,0.22134,0.380849,0.496109,0,0.0173388,6,1,1.29096
63.8295,0.936214,0.0560406,5,31,0,-60.3504,0.03291,0.70229,0.262058,0.52889,1.48081,0.671634,0.679482,0.0419721,0.03291,0.70229,1.48081,0.262058,0.52889,0.671634,0,0,0,0,0,0,0.0841479,0.128083,0.185396,0.286804,0.381992,0.430802,0,0.0419721,6,1,2.24986
65.1989,0.987265,0.0560406,5,31,0,-62.0051,0.0350245,1.5045,0.341235,0.887075,1.43462,0.514187,0.830929,0.00573244,0.0350245,1.5045,1.43462,0.341235,0.887075,0.514187,0,0,0,0,0,0,0.0157746,0.0306802,0.058721,0.146191,0.314487,0.461988,0,0.00573244,6,1,-0.216563
63.7753,0.977949,0.0560406,5,63,0,-58.6587,0.179457,0.310459,0.223128,0.471362,0.00524951,-0.0561242,0.828626,0.035509,0.179457,0.310459,0.00524951,0.223128,0.471362,-0.0561242,0,0,0,0,0,0,0.0647046,0.093852,0.131871,0.203334,0.281421,0.32917,0,0.035509,6,1,-1.05375
69.0756,0.997373,0.0560406,5,31,0,-62.4617,0.215135,1.02819,0.363681,0.711635,1.76446,0.473736,0.767668,0.00962219,0.215135,1.02819,1.76446,0.363681,0.711635,0.473736,0,0,0,0,0,0,0.027903,0.0554243,0.105886,0.243594,0.432517,0.542482,0,0.00962219,6,1,3.18873
70.43,0.988268,0.0560406,5,55,0,-66.9992,0.289255,1.13602,0.275586,0.814877,1.60239,0.246991,0.787988,0.0242817,0.289255,1.13602,1.60239,0.275586,0.814877,0.246991,0,0,0,0,0,0,0.0534573,0.0884951,0.142209,0.265496,0.427708,0.535519,0,0.0242817,6,1,3.44533
70.6666,0.995298,0.0560406,5,31,0,-68.4916,0.26778,1.36619,0.213824,0.802319,1.3986,0.0163749,0.781904,0.0307582,0.26778,1.36619,1.3986,0.213824,0.802319,0.0163749,0,0,0,0,0,0,0.0564714,0.0834721,0.121283,0.202785,0.313817,0.398174,0,0.0307582,6,1,0.0533401
71.3128,0.988677,0.0560406,5,63,0,-68.2285,0.401969,1.29037,0.21472,1.18375,1.9878,-0.243922,0.755456,0.0156747,0.401969,1.29037,1.9878,0.21472,1.18375,-0.243922,0,0,0,0,0,0,0.0294976,0.0447223,0.0673466,0.121978,0.212492,0.297798,0,0.0156747,6,1,-4.59206
70.6798,0.969171,0.0560406,6,127,0,-69.5408,0.655846,1.07059,0.396993,0.677365,3.2368,-0.148384,0.733109,0.00391976,0.655846,1.07059,3.2368,0.396993,0.677365,-0.148384,0,0,0,0,0,0,0.0127287,0.0275312,0.0580452,0.159653,0.34115,0.468601,0,0.00391976,6,1,-0.0939055
71.2373,0.937242,0.0560406,6,63,0,-68.3649,0.508926,0.85893,0.295226,1.04871,2.70876,0.0783606,0.791066,0.0102165,0.508926,0.85893,2.70876,0.295226,1.04871,0.0783606,0,0,0,0,0,0,0.0244324,0.0432842,0.075608,0.166247,0.328826,0.473883,0,0.0102165,6,1,0.386349
70.9165,0.91198,0.0560406,6,63,0,-67.6559,0.740508,0.174709,0.345914,0.850432,1.11141,0.672071,0.741658,0.015185,0.740508,0.174709,1.11141,0.345914,0.850432,0.672071,0,0,0,0,0,0,0.0415137,0.0790689,0.144528,0.311486,0.527252,0.650736,0,0.015185,6,1,5.74015
69.3064,0.987181,0.0560406,5,31,0,-67.7983,1.23061,0.251777,0.271861,1.35387,1.79295,0.147681,0.87191,0.0150803,1.23061,0.251777,1.79295,0.271861,1.35387,0.147681,0,0,0,0,0,0,0.0336171,0.056882,0.095088,0.197465,0.37705,0.540659,0,0.0150803,6,1,1.68141
67.8821,0.972927,0.0560406,6,63,0,-64.1503,1.21568,0.0624954,0.254176,1.56782,1.46232,0.995988,0.815981,0.0171289,1.21568,0.0624954,1.46232,0.254176,1.56782,0.995988,0,0,0,0,0,0,0.0362661,0.0593841,0.096312,0.19291,0.362523,0.522644,0,0.0171289,6,1,1.63171
68.1337,0.980592,0.0560406,5,47,0,-62.113,1.58008,0.103232,0.428239,0.636953,0.488322,-0.076299,0.745237,0.00264212,1.58008,0.103232,0.488322,0.428239,0.636953,-0.076299,0,0,0,0,0,0,0.00944551,0.0218046,0.0490713,0.147606,0.332192,0.458376,0,0.00264212,6,1,-0.523533
65.2216,0.991874,0.0560406,6,63,0,-63.5745,1.76755,0.0254346,0.155632,0.774675,0.169228,0.401575,0.856288,0.0708102,1.76755,0.0254346,0.169228,0.155632,0.774675,0.401575,0,0,0,0,0,0,0.107118,0.139205,0.178333,0.250179,0.334723,0.394677,0,0.0708102,6,1,0.876037
66.9807,0.995691,0.0560406,5,31,0,-61.259,0.83167,0.047668,0.416854,0.662022,1.00716,0.529461,0.807114,0.00512936,0.83167,0.047668,1.00716,0.416854,0.662022,0.529461,0,0,0,0,0,0,0.0175741,0.0391017,0.0835793,0.222026,0.422353,0.531094,0,0.00512936,6,1,2.44401
66.5895,0.997711,0.0560406,5,31,0,-64.9524,1.30536,0.0450892,0.389872,0.986338,0.732479,0.186676,0.792619,0.00308638,1.30536,0.0450892,0.732479,0.389872,0.986338,0.186676,0,0,0,0,0,0,0.00987211,0.0212786,0.0452541,0.132275,0.328264,0.513931,0,0.00308638,6,1,0.0331704
64.563,0.890443,0.0560406,4,31,0,-62.3296,1.49605,0.045146,0.417717,1.13151,1.15084,0.078752,0.844292,0.00256365,1.49605,0.045146,1.15084,0.417717,1.13151,0.078752,0,0,0,0,0,0,0.00892589,0.0203714,0.0458942,0.145891,0.386248,0.616024,0,0.00256365,6,1,1.36008
67.1101,0.997101,0.0560406,5,31,0,-62.5431,2.14821,0.0912512,0.164062,0.677129,0.880142,0.461802,0.756266,0.0783825,2.14821,0.0912512,0.880142,0.164062,0.677129,0.461802,0,0,0,0,0,0,0.119434,0.155187,0.197846,0.272943,0.355406,0.409882,0,0.0783825,6,1,1.6419
68.105,0.973426,0.0560406,5,31,0,-66.0548,1.59287,0.0922587,0.176691,0.807998,0.882176,0.41343,0.749682,0.0512056,1.59287,0.0922587,0.882176,0.176691,0.807998,0.41343,0,0,0,0,0,0,0.0833104,0.113657,0.152727,0.229205,0.324987,0.39534,0,0.0512056,6,1,0.469351
